From,To,DX,DY,DZ,"(DX, DX)","(DX, DY)","(DX, DZ)","(DY, DY)","(DY, DZ)","(DZ, DZ)"
,,[m],[m],[m],[m2],[m2],[m2],[m2],[m2],[m2]
N4,N5,-105.7774,-113.9711,-99.8486,0.000000336941,-0.000000461070,0.000000283705,0.000001028480,-0.000000673882,0.000000726986
N4,N5,-105.7706,-113.9719,-99.8465,0.000000135901,0.000000034008,-0.000000017004,0.000000560609,-0.000000135901,0.000000373696
N4,N6,-267.6214,-5.4319,43.3606,0.000000390307,-0.000000490762,0.000000312220,0.000000947908,-0.000000691409,0.000000780614
N4,N6,-267.6211,-5.4301,43.3588,0.000000130800,-0.000000012426,-0.000000024852,0.000000224060,-0.000000149374,0.000000448121
N6,N3,226.3243,87.3613,54.7227,0.000000130800,-0.000000031915,0.000000031915,0.000000207318,-0.000000127530,0.000000175403
N6,N3,226.3263,87.3594,54.7237,0.000000130800,-0.000000037540,0.000000046957,0.000000225499,-0.000000122167,0.000000291292
N6,N5,161.8497,-108.5464,-143.2054,0.000000130800,-0.000000044341,0.000000055459,0.000000432294,-0.000000321376,0.000000454399
N6,N5,161.8475,-108.5447,-143.2083,0.000000130800,-0.000000050750,0.000000050750,0.000000345181,-0.000000182728,0.000000233478
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
